"Time","t2shut::e1:status"
"12/06/2022, 11:48:31 PM",1
"12/07/2022, 12:42:52 PM",3
"12/07/2022, 12:43:05 PM",2
"12/07/2022, 01:10:39 PM",3
"12/07/2022, 01:11:12 PM",1
"12/07/2022, 05:20:09 PM",3
"12/07/2022, 05:20:23 PM",2
"12/07/2022, 05:44:22 PM",3
"12/07/2022, 05:44:57 PM",1
"12/08/2022, 08:00:23 AM",3
"12/08/2022, 08:00:37 AM",2
"12/08/2022, 09:56:00 AM",3
"12/08/2022, 09:56:37 AM",1
"12/08/2022, 10:59:59 AM",3
"12/08/2022, 11:00:14 AM",2
"12/08/2022, 11:09:59 AM",3
"12/08/2022, 11:10:36 AM",1
"12/08/2022, 01:39:19 PM",4
"12/08/2022, 01:39:21 PM",3
"12/08/2022, 01:39:34 PM",2
"12/08/2022, 01:56:57 PM",3
"12/08/2022, 01:57:33 PM",1
"12/08/2022, 02:46:13 PM",3
"12/08/2022, 02:46:27 PM",2
"12/08/2022, 03:01:55 PM",3
"12/08/2022, 03:02:30 PM",1
"12/08/2022, 03:21:56 PM",3
"12/08/2022, 03:22:12 PM",2
"12/08/2022, 03:27:41 PM",3
"12/08/2022, 03:28:16 PM",1
"12/08/2022, 04:03:59 PM",3
"12/08/2022, 04:04:14 PM",2
"12/08/2022, 04:20:21 PM",3
"12/08/2022, 04:20:58 PM",1
"12/08/2022, 06:43:55 PM",3
"12/08/2022, 06:44:11 PM",2
"12/08/2022, 06:53:01 PM",3
"12/08/2022, 06:53:40 PM",1
"12/09/2022, 01:30:21 AM",3
"12/09/2022, 01:30:36 AM",2
"12/09/2022, 02:22:57 AM",3
"12/09/2022, 02:23:31 AM",1
"12/09/2022, 06:26:13 AM",3
"12/09/2022, 06:26:27 AM",2
"12/09/2022, 06:35:57 AM",3
"12/09/2022, 06:36:35 AM",1
"12/09/2022, 10:40:27 AM",3
"12/09/2022, 10:40:45 AM",2
"12/09/2022, 11:06:36 AM",4
"12/09/2022, 11:07:15 AM",1
"12/09/2022, 11:17:36 AM",3
"12/09/2022, 11:17:48 AM",2
"12/09/2022, 11:20:11 AM",3
"12/09/2022, 11:20:47 AM",1
"12/09/2022, 03:12:20 PM",3
"12/09/2022, 03:12:29 PM",2
"12/09/2022, 03:34:14 PM",3
"12/09/2022, 03:34:47 PM",1
"12/09/2022, 05:24:47 PM",4
"12/09/2022, 05:24:50 PM",1
"12/09/2022, 07:20:36 PM",3
"12/09/2022, 07:20:50 PM",2
"12/09/2022, 07:31:49 PM",3
"12/09/2022, 07:32:25 PM",1
"12/10/2022, 12:54:52 AM",3
"12/10/2022, 12:55:07 AM",2
"12/10/2022, 01:04:44 AM",3
"12/10/2022, 01:05:20 AM",1
"12/10/2022, 01:53:18 AM",4
"12/10/2022, 01:53:27 AM",1
"12/10/2022, 08:41:00 AM",3
"12/10/2022, 08:41:16 AM",2
"12/10/2022, 11:11:22 AM",3
"12/10/2022, 11:11:57 AM",1
"12/10/2022, 11:57:44 AM",3
"12/10/2022, 11:57:58 AM",2
"12/10/2022, 11:59:13 AM",3
"12/10/2022, 11:59:50 AM",1
